Gymnast,vault.n1,vault.n2,vault.t1,vault.t2,floor.n1,floor.n2,floor.t1,floor.t2,bars.n1,bars.n2,bars.t1,bars.t2,beam.n1,beam.n2,beam.t1,beam.t2,aa.n1,aal.n2,aa.t1,aa.t2
Simone Biles,15.8,15,15.975,15.5,15.2,15.1,14.85,14.725,14.65,14.4,14.425,14.2,14.8,14.8,13.65,13.9,60.45,59.3,58.9,58.325
Jordan Chiles,14.15,14.4,14.325,14.5,12.75,14.1,14.1,14.1,14.5,14.5,14.35,14.2,13.7,12.3,13.625,12.225,55.1,55.3,56.4,55.025
Suni Lee,14,12.15,13.525,14.1,13.25,13.35,13.7,13.85,14.3,14.5,14.4,14.875,14.2,14.9,14.4,12.825,55.75,54.9,56.025,55.65
Jade Carey,14.5,14.6,14.6,14.675,13.6,13.7,14.075,14.15,13.5,13.65,13.575,13.075,13.45,12.3,13.575,13.625,55.05,54.25,55.825,55.525
Joscelyn Roberson,14,13.9,14.325,14.5,13.3,14,13.925,13.925,13.25,13.2,13.3,13.025,12.8,13.75,13.925,14.05,53.35,54.85,55.475,55.5
Kaliya Lincoln,,,14.225,14.25,,,14.15,13.65,,,13.45,13.45,,,13.05,13.175,,,54.875,54.525
Hezly Rivera,14.2,13.95,13.575,14.2,13.1,13.2,13.525,13.55,14.15,13.8,14.025,14.3,13.85,14.1,13.7,14.275,55.3,55.05,54.825,56.325
Leanne Wong,14.2,14.25,14.45,14.5,13.7,13.6,13.15,13.625,13.9,13.55,13.925,13.9,13.75,11.7,13.225,13.65,55.55,53.1,54.75,55.675
Tiana Sumanasekera,14.25,14.15,14.15,14.35,13.7,13.8,13.875,13.725,12.75,12.65,12.725,12.825,13.7,13.55,13.95,13.95,54.4,54.15,54.7,54.85
Eveylynn Lowe,13.55,13.55,13.525,13.675,13.1,13.5,12.775,12.825,12.55,12.7,12.9,12.875,13.75,13.65,12.475,13.45,52.95,53.4,51.675,52.825
Simone Rose,13.6,13.55,13.45,13.575,13.05,13.4,12.55,13.375,13.1,13.65,13.45,13.2,13.3,12.75,12.225,13.375,53.05,53.35,51.675,53.525
Zoey Molomo,13.95,13.8,13.8,13.85,12.75,13.3,13.075,12.95,13.3,12.8,10.6,12.55,13.65,13,13.475,13.2,53.65,52.9,50.95,52.55
Dulcy Caylor,14,13.9,13.3,13.9,13.35,12.7,12.225,12.425,13.35,13.2,13.45,13.275,12.9,12.75,11.575,12.425,53.6,52.55,50.55,52.025
Shilese Jones,,,,,,,,,,,14.675,,,,,,,,14.675,
